model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand
 Fiesta,2018,12429,Manual,8508,Petrol,145,62.8,1.0,Ford
 3 Series,2017,13100,Manual,25468,Petrol,200,42.8,2.0,BMW
 5 Series,2020,42124,Semi-Auto,101,Petrol,145,39.2,3.0,BMW
 Q3,2016,17491,Semi-Auto,45128,Diesel,160,50.4,2.0,Audi
 Meriva,2017,7599,Manual,18127,Petrol,145,47.1,1.4,Vauxhall
 Passat,2017,14199,Automatic,20468,Diesel,30,62.8,2.0,Volkswagen
 Aygo,2018,7995,Manual,7995,Petrol,145,68.9,1.0,Toyota
 T-Roc,2020,26995,Semi-Auto,6500,Petrol,145,39.8,1.5,Volkswagen
 Mondeo,2015,11599,Manual,24229,Petrol,145,48.7,1.5,Ford
 C Class,2020,29990,Semi-Auto,99,Diesel,145,64.2,2.0,Mercedes
 A Class,2016,14499,Manual,31143,Diesel,30,62.8,2.1,Mercedes
 Fiesta,2013,7700,Manual,27328,Diesel,0,76.4,1.5,Ford
 Focus,2019,15799,Manual,7462,Petrol,145,58.9,1.0,Ford
 1 Series,2016,11400,Manual,21591,Petrol,125,53.3,1.5,BMW
 C Class,2019,29480,Semi-Auto,7494,Diesel,145,56.5,2.0,Mercedes
 IX35,2014,7995,Manual,51023,Diesel,145,53.3,1.7,Hyundai
 Focus,2019,16498,Manual,9557,Petrol,145,60.1,1.0,Ford
 Focus,2015,5492,Manual,114000,Diesel,0,74.3,1.5,Ford
 Aygo,2019,9995,Manual,6414,Petrol,145,56.5,1.0,Toyota
 Astra,2015,6940,Manual,69712,Diesel,20,72.4,1.6,Vauxhall
 M4,2019,48940,Semi-Auto,12,Petrol,145,32.5,3.0,BMW
 Yeti Outdoor,2017,14699,Semi-Auto,23388,Petrol,125,51.4,1.2,Skoda
 A Class,2017,18495,Semi-Auto,15734,Diesel,145,68.9,2.1,Mercedes
 Mokka,2015,8499,Manual,48870,Diesel,125,60.1,1.6,Vauxhall
 C Class,2019,25980,Semi-Auto,6206,Petrol,145,45.6,1.5,Mercedes
 5 Series,2017,22490,Semi-Auto,26002,Diesel,145,68.9,2.0,BMW
 Santa Fe,2018,29495,Semi-Auto,8400,Diesel,150,39.8,2.2,Hyundai
 A6,2016,18275,Semi-Auto,64919,Diesel,125,58.9,2.0,Audi
 Mokka,2014,9000,Manual,30370,Petrol,145,47.1,1.4,Vauxhall
 GLA Class,2018,16950,Manual,29334,Diesel,145,67.3,2.1,Mercedes
 4 Series,2016,15650,Manual,34236,Petrol,160,46.3,2.0,BMW
 Astra,2018,10299,Manual,19156,Petrol,145,52.3,1.4,Vauxhall
 X3,2014,14495,Semi-Auto,56787,Diesel,150,54.3,2.0,BMW
 Mokka,2015,6795,Manual,83680,Diesel,30,65.7,1.6,Vauxhall
 C Class,2019,25799,Semi-Auto,11056,Petrol,145,47.1,1.5,Mercedes
 Q5,2014,14790,Manual,65374,Diesel,200,47.9,2.0,Audi
 Astra,2016,9100,Manual,27411,Diesel,20,72.4,1.6,Vauxhall
 Q5,2018,27841,Semi-Auto,38500,Diesel,145,55.4,2.0,Audi
 C-MAX,2017,8998,Manual,46400,Diesel,20,68.9,1.5,Ford
 Crossland X,2019,14940,Manual,2428,Diesel,145,60.1,1.5,Vauxhall
 Fiesta,2015,7691,Manual,34296,Petrol,0,65.7,1.0,Ford
 Ka+,2018,8995,Manual,10038,Petrol,145,57.7,1.2,Ford
 C Class,2018,20299,Automatic,11498,Diesel,145,61.4,2.1,Mercedes
 Aygo,2016,6895,Manual,21460,Petrol,0,69.0,1.0,Toyota
 Focus,2018,17499,Manual,25065,Diesel,145,67.3,2.0,Ford
 A3,2015,16245,Semi-Auto,20396,Petrol,150,48.7,1.8,Audi
 E Class,2019,36999,Semi-Auto,6105,Hybrid,135,134.5,2.0,Mercedes
 A4,2016,13498,Manual,29333,Petrol,145,51.4,1.4,Audi
 Crossland X,2017,9498,Manual,31067,Petrol,145,58.9,1.2,Vauxhall
 Q3,2019,38990,Automatic,3000,Petrol,145,32.1,2.0,Audi
 C Class,2016,16498,Semi-Auto,27034,Diesel,30,65.7,1.6,Mercedes
 Fabia,2017,9295,Manual,20095,Petrol,145,64.2,1.0,Skoda
 C Class,2015,16810,Automatic,44929,Diesel,30,64.2,2.1,Mercedes
 X4,2019,39500,Automatic,155,Diesel,145,40.9,3.0,BMW
 Focus,2017,10997,Manual,26828,Petrol,145,60.1,1.0,Ford
 Superb,2017,14499,Automatic,18391,Petrol,145,53.3,1.4,Skoda
 Tiguan,2011,9985,Automatic,25931,Petrol,305,32.8,2.0,Volkswagen
 Golf,2018,19990,Semi-Auto,50,Diesel,145,45.6,1.6,Volkswagen
 X5,2016,31581,Automatic,7658,Diesel,205,47.1,3.0,BMW
 GLE Class,2016,31995,Semi-Auto,2933,Diesel,200,47.9,2.1,Mercedes
 I10,2019,9990,Manual,25,Petrol,145,49.6,1.0,Hyundai
 C-MAX,2016,9998,Manual,26138,Diesel,20,68.9,1.5,Ford
 2 Series,2019,22480,Manual,6521,Diesel,145,60.1,2.0,BMW
 Auris,2014,11599,Automatic,27110,Hybrid,0,72.4,1.8,Toyota
 Corsa,2019,9994,Manual,1294,Petrol,145,43.5,1.4,Vauxhall
 Grandland X,2018,14995,Manual,48791,Diesel,145,56.5,1.5,Vauxhall
 C Class,2019,25449,Semi-Auto,13197,Petrol,145,47.1,1.5,Mercedes
 Citigo,2017,6040,Manual,30318,Petrol,145,64.2,1.0,Skoda
 Focus,2017,11699,Manual,11526,Petrol,20,60.1,1.0,Ford
 A1,2017,13491,Semi-Auto,15712,Petrol,20,64.2,1.0,Audi
 Passat,2019,28995,Semi-Auto,1614,Hybrid,135,43.5,1.4,Volkswagen
 Polo,2016,8491,Manual,24343,Petrol,20,60.1,1.0,Volkswagen
 Passat,2018,12310,Manual,33632,Diesel,145,70.6,1.6,Volkswagen
 Golf,2013,7330,Manual,70632,Petrol,125,53.3,1.4,Volkswagen
 Corsa,2019,10399,Manual,9493,Petrol,145,43.5,1.4,Vauxhall
 Mokka X,2019,13770,Manual,6749,Petrol,145,39.2,1.4,Vauxhall
 Astra,2019,15490,Manual,12500,Petrol,145,44.1,1.6,Vauxhall
 A3,2019,24490,Semi-Auto,5523,Petrol,150,42.2,1.5,Audi
 Mokka X,2018,14499,Manual,21579,Petrol,145,36.7,1.4,Vauxhall
 GLC Class,2016,28798,Semi-Auto,18773,Diesel,145,56.5,2.1,Mercedes
 X5,2019,47500,Automatic,14391,Petrol,150,27.2,3.0,BMW
 Insignia,2018,14995,Manual,9615,Diesel,145,65.7,1.6,Vauxhall
 A Class,2019,23680,Semi-Auto,8756,Petrol,145,53.3,1.3,Mercedes
 A6,2017,20450,Semi-Auto,29530,Diesel,30,61.4,2.0,Audi
 Q5,2015,18995,Manual,29987,Petrol,260,36.2,2.0,Audi
 Polo,2018,16995,Semi-Auto,20975,Petrol,150,47.9,2.0,Volkswagen
 Mokka X,2019,13310,Manual,10892,Petrol,145,39.2,1.4,Vauxhall
 E Class,2018,30592,Automatic,7684,Diesel,145,57.7,2.0,Mercedes
 Yaris,2017,10995,Automatic,22909,Hybrid,0,86.0,1.5,Toyota
 Corsa,2013,4971,Manual,45097,Petrol,125,51.4,1.2,Vauxhall
 C Class,2019,35000,Automatic,1250,Petrol,145,42.2,2.0,Mercedes
 Avensis,2016,14495,Automatic,17781,Petrol,165,47.1,1.8,Toyota
 Yaris,2016,13675,Automatic,14997,Hybrid,0,78.0,1.5,Toyota
 Golf,2019,16995,Manual,11600,Diesel,150,55.4,1.6,Volkswagen
 Corsa,2016,8495,Manual,22000,Petrol,30,55.4,1.4,Vauxhall
 Focus,2019,15860,Manual,4265,Petrol,145,60.1,1.0,Ford
 Kuga,2009,4352,Manual,128046,Diesel,240,44.1,2.0,Ford
 Q2,2017,17990,Manual,12300,Petrol,145,52.3,1.4,Audi
 A Class,2018,19097,Semi-Auto,7844,Petrol,145,53.3,1.3,Mercedes
 A1,2016,11498,Manual,24952,Petrol,30,55.4,1.4,Audi
 Kodiaq,2019,27495,Automatic,5500,Diesel,145,49.6,2.0,Skoda
 C Class,2013,11998,Semi-Auto,31706,Diesel,145,53.3,2.1,Mercedes
 Zafira,2017,14000,Manual,18469,Diesel,145,54.3,2.0,Vauxhall
 Astra,2017,9498,Manual,43112,Diesel,20,72.4,1.6,Vauxhall
 A Class,2014,13000,Automatic,17363,Petrol,145,50.4,1.6,Mercedes
 2 Series,2018,16500,Manual,17123,Petrol,150,52.3,1.5,BMW
 I10,2019,10495,Semi-Auto,4638,Petrol,150,47.9,1.2,Hyundai
 Focus,2017,12700,Manual,25746,Diesel,145,74.3,1.5,Ford
 A3,2017,18490,Manual,19948,Petrol,150,54.3,1.5,Audi
 Crossland X,2018,11998,Manual,10304,Petrol,145,57.7,1.2,Vauxhall
 Golf,2020,36995,Semi-Auto,3452,Petrol,150,36.2,2.0,Volkswagen
 A6,2019,30985,Automatic,1863,Diesel,145,47.9,2.0,Audi
 RAV4,2017,16675,Manual,22565,Diesel,125,60.1,2.0,Toyota
 Mokka X,2019,12499,Manual,16583,Petrol,145,39.2,1.4,Vauxhall
 Mokka,2014,7991,Manual,37809,Diesel,125,57.6,1.7,Vauxhall
 Astra,2013,6995,Manual,24440,Petrol,200,41.5,1.6,Vauxhall
 Superb,2017,14119,Manual,43298,Diesel,20,67.3,2.0,Skoda
 Tiguan,2016,11999,Manual,38501,Diesel,125,56.5,2.0,Volkswagen
 X5,2016,33698,Automatic,20708,Diesel,235,42.8,3.0,BMW
 Tiguan,2020,33990,Semi-Auto,2214,Diesel,145,45.6,2.0,Volkswagen
 C-HR,2017,18450,Automatic,46000,Hybrid,135,74.3,1.8,Toyota
 Fiesta,2017,8698,Manual,18775,Petrol,125,54.3,1.2,Ford
 Fiesta,2018,10390,Manual,8899,Petrol,145,64.2,1.1,Ford
 C Class,2020,31980,Semi-Auto,16,Diesel,145,64.2,2.0,Mercedes
 Fiesta,2018,11000,Manual,7485,Petrol,145,65.7,1.0,Ford
 Corsa,2016,7698,Manual,11345,Petrol,30,55.4,1.4,Vauxhall
 A3,2016,15380,Automatic,24523,Diesel,20,70.6,1.6,Audi
 Q8,2018,50000,Automatic,11000,Diesel,150,33.6,3.0,Audi
 Zafira,2017,10795,Automatic,24855,Petrol,205,40.9,1.4,Vauxhall
 Focus,2016,8760,Manual,38113,Petrol,20,61.4,1.0,Ford
 1 Series,2015,11200,Automatic,48282,Diesel,20,70.6,2.0,BMW
 Q2,2017,21650,Semi-Auto,8865,Petrol,145,54.3,1.4,Audi
 Insignia,2018,19999,Manual,6000,Diesel,145,53.3,2.0,Vauxhall
 Superb,2017,19441,Semi-Auto,12369,Diesel,150,56.5,2.0,Skoda
 I40,2019,16500,Manual,10,Diesel,145,52.3,1.6,Hyundai
 Q5,2019,34596,Semi-Auto,8442,Diesel,145,38.2,2.0,Audi
 Focus,2017,11698,Manual,32557,Diesel,0,74.3,1.5,Ford
 Polo,2020,18241,Manual,3500,Petrol,145,49.6,1.0,Volkswagen
 B-MAX,2013,4985,Manual,65389,Petrol,30,55.4,1.0,Ford
 E Class,2019,28799,Semi-Auto,2298,Diesel,145,61.4,2.0,Mercedes
 C Class,2019,26899,Semi-Auto,2239,Petrol,145,46.3,1.5,Mercedes
 Golf,2016,11490,Manual,20592,Petrol,30,53.3,1.4,Volkswagen
 Corsa,2019,9990,Manual,100,Petrol,145,43.5,1.4,Vauxhall
 4 Series,2017,17000,Manual,21869,Petrol,150,46.3,2.0,BMW
 Focus,2017,11650,Manual,22344,Petrol,150,51.4,1.5,Ford
 Fiesta,2017,10490,Manual,20458,Petrol,20,62.8,1.0,Ford
 T-Roc,2020,24990,Semi-Auto,3000,Petrol,145,39.8,1.5,Volkswagen
 Yaris,2017,9270,Manual,31475,Petrol,145,58.9,1.5,Toyota
 5 Series,2019,31580,Automatic,8612,Petrol,145,48.7,2.0,BMW
 E Class,2019,35349,Semi-Auto,11798,Diesel,145,48.7,3.0,Mercedes
 X5,2014,27498,Automatic,28056,Petrol,555,26.9,4.4,BMW
 2 Series,2018,19980,Semi-Auto,9933,Petrol,145,38.2,2.0,BMW
 Aygo,2017,7100,Manual,21441,Petrol,0,68.9,1.0,Toyota
 X2,2018,25969,Semi-Auto,12271,Diesel,145,61.4,2.0,BMW
 3 Series,2019,27498,Semi-Auto,9091,Diesel,150,52.3,2.0,BMW
 Yaris,2019,11995,Manual,3991,Petrol,145,47.9,1.5,Toyota
 Astra,2018,13990,Manual,18860,Diesel,140,62.8,1.6,Vauxhall
 Golf,2017,12242,Manual,37478,Diesel,20,68.9,2.0,Volkswagen
 Fiesta,2019,15995,Manual,4000,Petrol,145,55.4,1.0,Ford
 X3,2015,20850,Automatic,36054,Diesel,145,54.3,2.0,BMW
 I10,2017,7495,Manual,19500,Petrol,145,57.6,1.2,Hyundai
 Polo,2010,5299,Manual,55474,Petrol,145,47.9,1.4,Volkswagen
 E Class,2016,19480,Semi-Auto,19448,Diesel,125,58.9,2.1,Mercedes
 Astra,2015,8400,Manual,17971,Petrol,200,43.5,1.6,Vauxhall
 Touran,2017,15990,Semi-Auto,39000,Diesel,30,65.7,1.6,Volkswagen
 X3,2015,22250,Automatic,37000,Diesel,200,47.9,3.0,BMW
 E Class,2018,31990,Automatic,9490,Diesel,145,70.6,2.0,Mercedes
 Fiesta,2017,9697,Manual,24009,Petrol,20,62.8,1.0,Ford
 C Class,2016,18990,Automatic,23000,Diesel,30,64.2,2.1,Mercedes
 A3,2019,26990,Semi-Auto,2085,Petrol,145,38.2,2.0,Audi
 GLA Class,2019,24049,Semi-Auto,14719,Petrol,145,50.4,1.6,Mercedes
 3 Series,2009,4740,Manual,91000,Diesel,125,57.6,2.0,BMW
 RAV4,2015,13330,Automatic,36426,Petrol,235,39.2,2.0,Toyota
 A Class,2015,11680,Semi-Auto,55067,Diesel,20,68.9,1.5,Mercedes
 3 Series,2020,29990,Semi-Auto,9,Diesel,145,51.4,2.0,BMW
 Focus,2015,12200,Manual,38773,Diesel,20,67.3,2.0,Ford
 Fiesta,2016,8290,Manual,18500,Petrol,125,54.3,1.2,Ford
 5 Series,2014,15532,Semi-Auto,36919,Diesel,125,60.1,2.0,BMW
 A5,2019,29500,Automatic,100,Petrol,145,40.4,2.0,Audi
 I10,2017,7259,Manual,33099,Petrol,145,60.1,1.0,Hyundai
 Golf,2016,12295,Manual,29995,Petrol,30,53.3,1.4,Volkswagen
 Fiesta,2016,7495,Manual,28315,Petrol,0,65.7,1.0,Ford
 Tucson,2019,23750,Manual,25,Petrol,145,34.9,1.6,Hyundai
 Q2,2018,22950,Semi-Auto,7441,Petrol,145,52.3,1.4,Audi
 Passat,2016,12000,Manual,52424,Diesel,20,68.9,2.0,Volkswagen
 RAV4,2015,12711,Manual,56203,Diesel,150,53.0,2.0,Toyota
 Polo,2017,10650,Manual,18000,Petrol,145,60.1,1.2,Volkswagen
 A3,2014,11941,Semi-Auto,55364,Diesel,30,62.8,2.0,Audi
 Golf,2019,17498,Manual,7705,Petrol,145,47.1,1.5,Volkswagen
 Polo,2020,13900,Manual,1600,Petrol,150,48.7,1.0,Volkswagen
 Fabia,2017,10980,Automatic,15800,Petrol,145,61.4,1.0,Skoda
 C Class,2016,18149,Semi-Auto,7366,Petrol,125,52.3,2.0,Mercedes
 Superb,2019,28995,Automatic,3000,Petrol,145,33.2,2.0,Skoda
 Tucson,2016,12990,Manual,20707,Petrol,160,44.8,1.6,Hyundai
 Polo,2019,12995,Manual,11756,Petrol,145,48.7,1.0,Volkswagen
 Superb,2016,8391,Manual,108000,Diesel,20,67.3,1.6,Skoda
 Q8,2019,67495,Automatic,7961,Diesel,145,32.8,3.0,Audi
 Fiesta,2017,9550,Manual,7314,Petrol,145,64.2,1.1,Ford
 Focus,2017,15499,Semi-Auto,29984,Diesel,30,61.4,2.0,Ford
 Fiesta,2009,2991,Manual,79089,Petrol,145,49.6,1.2,Ford
 Corsa,2010,3000,Manual,42300,Petrol,125,53.3,1.2,Vauxhall
 E Class,2019,32998,Automatic,8946,Diesel,145,44.8,2.0,Mercedes
 3 Series,2019,29498,Semi-Auto,7751,Petrol,145,41.5,2.0,BMW
 Insignia,2011,4990,Automatic,121000,Diesel,200,45.6,2.0,Vauxhall
 S-MAX,2017,11295,Manual,111770,Diesel,125,56.5,2.0,Ford
 Kuga,2014,10712,Manual,51530,Diesel,200,47.9,2.0,Ford
 Sharan,2019,24290,Semi-Auto,13492,Diesel,145,41.5,2.0,Volkswagen
 Corsa,2017,6990,Manual,24586,Petrol,145,55.4,1.4,Vauxhall
 X1,2017,22310,Semi-Auto,17905,Diesel,145,57.6,2.0,BMW
 GLA Class,2018,22299,Semi-Auto,6500,Diesel,145,67.3,2.1,Mercedes
 Insignia,2018,15395,Manual,7849,Petrol,145,47.1,1.5,Vauxhall
 A3,2014,9999,Manual,39828,Petrol,30,57.6,1.2,Audi
 Corsa,2018,7599,Manual,19003,Petrol,145,55.4,1.4,Vauxhall
 Corsa,2019,10699,Manual,3478,Petrol,145,44.8,1.4,Vauxhall
 Focus,2018,17900,Manual,10586,Petrol,145,41.5,2.0,Ford
 Fiesta,2016,8699,Manual,24500,Petrol,0,65.7,1.0,Ford
 GLA Class,2016,20999,Semi-Auto,40000,Petrol,205,43.5,2.0,Mercedes
 Golf,2017,16991,Manual,24647,Diesel,20,67.3,2.0,Volkswagen
 Yaris,2014,9387,Automatic,47511,Hybrid,0,80.7,1.5,Toyota
 Up,2014,6110,Manual,19912,Petrol,20,62.8,1.0,Volkswagen
 Kuga,2017,16990,Semi-Auto,19016,Diesel,145,54.3,2.0,Ford
 Polo,2017,13000,Semi-Auto,26062,Petrol,145,60.1,1.2,Volkswagen
 C Class,2012,10899,Automatic,49029,Diesel,145,53.3,2.1,Mercedes
 C Class,2019,29995,Semi-Auto,13,Diesel,145,55.4,2.0,Mercedes
 4 Series,2015,15991,Manual,28000,Petrol,165,44.8,2.0,BMW
 I20,2010,3695,Manual,35000,Petrol,125,54.3,1.2,Hyundai
 Focus,2019,16030,Manual,10111,Diesel,145,74.3,1.5,Ford
 Tiguan,2017,18872,Semi-Auto,29417,Diesel,145,49.6,2.0,Volkswagen
 Corsa,2019,9997,Manual,6833,Petrol,150,43.5,1.4,Vauxhall
 E Class,2019,56980,Semi-Auto,3999,Petrol,145,31.7,3.0,Mercedes
 RAV4,2012,7095,Manual,82000,Diesel,200,47.1,2.2,Toyota
 3 Series,2015,17998,Semi-Auto,22358,Diesel,145,56.5,3.0,BMW
 Insignia,2014,10990,Automatic,15600,Diesel,150,53.3,2.0,Vauxhall
 Focus,2018,19999,Manual,10365,Petrol,145,41.5,2.0,Ford
 Fiesta,2015,7200,Manual,31691,Petrol,0,65.7,1.0,Ford
 2 Series,2015,12400,Automatic,20452,Diesel,20,68.9,2.0,BMW
 C Class,2012,8000,Manual,41982,Petrol,200,42.2,1.8,Mercedes
 Aygo,2019,9995,Semi-Auto,350,Petrol,145,56.5,1.0,Toyota
 Fiesta,2019,16990,Automatic,5452,Petrol,145,48.7,1.0,Ford
 A5,2017,17599,Manual,44934,Diesel,30,67.3,2.0,Audi
 Meriva,2016,6292,Manual,40843,Petrol,145,47.9,1.4,Vauxhall
 TT,2017,18781,Manual,18892,Petrol,150,46.3,2.0,Audi
 Q7,2017,51595,Semi-Auto,12751,Diesel,145,39.2,4.0,Audi
 Yaris,2017,13450,Automatic,9282,Hybrid,135,76.3,1.5,Toyota
 Golf,2019,18000,Manual,5073,Petrol,145,50.4,0.0,Volkswagen
 Tucson,2017,15698,Semi-Auto,7015,Diesel,145,57.6,1.7,Hyundai
 Q2,2017,18401,Manual,16988,Petrol,145,50.4,1.4,Audi
 Auris,2016,15495,Automatic,11898,Hybrid,0,78.5,1.8,Toyota
 Up,2016,7690,Manual,13806,Petrol,20,64.2,1.0,Volkswagen
 X1,2015,11141,Semi-Auto,64865,Diesel,165,52.3,2.0,BMW
 Mokka X,2019,11740,Manual,19150,Petrol,145,39.2,1.4,Vauxhall
 3 Series,2017,17141,Semi-Auto,30171,Diesel,145,64.2,2.0,BMW
 Corsa,2019,10494,Manual,10,Petrol,145,43.5,1.4,Vauxhall
 Corsa,2012,3995,Manual,47752,Petrol,125,51.4,1.2,Vauxhall
 GLA Class,2020,23990,Semi-Auto,2500,Petrol,145,37.2,1.6,Mercedes
 A5,2019,28950,Semi-Auto,5000,Diesel,145,47.1,2.0,Audi
 C Class,2017,25599,Semi-Auto,13000,Petrol,145,42.2,2.0,Mercedes
 GLC Class,2017,21042,Semi-Auto,15230,Diesel,125,56.5,2.1,Mercedes
 Q3,2019,31888,Automatic,4000,Diesel,145,47.1,2.0,Audi
 S Class,2019,81900,Automatic,21442,Petrol,145,32.1,4.0,Mercedes
 CL Class,2017,21032,Semi-Auto,33384,Diesel,145,67.3,2.1,Mercedes
 1 Series,2017,13515,Manual,49335,Diesel,145,68.9,2.0,BMW
 Yaris,2016,12500,Automatic,23150,Hybrid,0,78.0,1.5,Toyota
 EcoSport,2017,9995,Manual,24341,Diesel,150,64.2,1.5,Ford
 Corolla,2019,16500,Manual,6170,Petrol,145,39.2,1.2,Toyota
 Astra,2017,9999,Manual,32000,Petrol,150,51.4,1.4,Vauxhall
 Octavia,2019,13299,Manual,13051,Diesel,145,68.9,1.6,Skoda
 C Class,2016,20780,Semi-Auto,31246,Diesel,20,68.9,2.1,Mercedes
 Corsa,2018,8200,Manual,4521,Petrol,145,43.5,1.4,Vauxhall
 Q2,2019,19500,Manual,7252,Diesel,140,47.9,1.6,Audi
 Corsa,2014,4550,Manual,44624,Petrol,125,51.4,1.2,Vauxhall
 Corsa,2019,10999,Manual,5900,Petrol,145,44.8,1.4,Vauxhall
 Citigo,2017,6120,Manual,13453,Petrol,20,64.2,1.0,Skoda
 Grand C-MAX,2017,11290,Manual,15934,Petrol,30,54.3,1.0,Ford
 S Class,2009,8990,Automatic,79980,Diesel,325,34.0,3.0,Mercedes
 E Class,2019,38500,Semi-Auto,12422,Hybrid,135,188.3,2.0,Mercedes
 C Class,2017,16481,Semi-Auto,43678,Diesel,20,65.7,2.1,Mercedes
 Octavia,2019,12795,Manual,14950,Diesel,145,68.9,1.6,Skoda
 A3,2020,21970,Manual,5015,Diesel,150,53.3,1.6,Audi
 Octavia,2019,21995,Automatic,5900,Diesel,145,67.3,2.0,Skoda
 Polo,2014,11500,Automatic,32315,Petrol,145,47.9,1.4,Volkswagen
